owner/repo,lang,label,wilcoxon_pvalue,identical,delta,eff_size,invalid,summary_treatment,summary_control
embark-framework/embark,JAVASCRIPT,help wanted,2.266E-01,False,0.05466524,negligible,False,Min=0;Median=0.000;Mean=0.328;Max=5;std_dev=0.708,Min=0;Median=0.000;Mean=0.231;Max=3;std_dev=0.531
emberjs/data,JAVASCRIPT,Good for New Contributors,3.600E-05,False,-0.2292978,small,False,Min=0;Median=1.000;Mean=1.215;Max=7;std_dev=1.352,Min=0;Median=1.000;Mean=1.927;Max=16;std_dev=2.082
emberjs/ember.js,JAVASCRIPT,Good for New Contributors,2.733E-03,False,0.181054,small,False,Min=0;Median=2.000;Mean=2.303;Max=15;std_dev=1.888,Min=0;Median=1.000;Mean=1.883;Max=9;std_dev=2.039
eslint/eslint,JAVASCRIPT,good first issue,1.187E-10,False,0.697037,large,False,Min=0;Median=3.000;Mean=3.190;Max=9;std_dev=2.086,Min=0;Median=1.000;Mean=0.967;Max=10;std_dev=1.903
expressjs/express,JAVASCRIPT,help wanted,7.568E-02,False,0.07921495,negligible,False,Min=0;Median=1.000;Mean=1.204;Max=10;std_dev=1.235,Min=0;Median=1.000;Mean=1.116;Max=5;std_dev=1.308
facebook/react-native,JAVASCRIPT,Good first issue,,,,,True,,
facebook/react,JAVASCRIPT,good first issue (taken),1.615E-01,False,0.08135876,negligible,False,Min=0;Median=6.000;Mean=6.712;Max=36;std_dev=4.090,Min=0;Median=6.000;Mean=6.020;Max=17;std_dev=3.961
firefox-devtools/debugger,JAVASCRIPT,available,1.307E-12,False,-0.4558079,medium,False,Min=0;Median=0.000;Mean=0.847;Max=8;std_dev=1.647,Min=0;Median=2.000;Mean=2.330;Max=10;std_dev=2.377
FormidableLabs/victory,JAVASCRIPT,good first issue,2.438E-01,False,0.07585756,negligible,False,Min=0;Median=0.000;Mean=0.390;Max=3;std_dev=0.647,Min=0;Median=0.000;Mean=0.254;Max=1;std_dev=0.439
freeCodeCamp/freeCodeCamp,JAVASCRIPT,help wanted,,,,,True,,
gatsbyjs/gatsby,JAVASCRIPT,help wanted,,,,,True,,
gorhill/uBlock,JAVASCRIPT,available,,,,,True,,
HabitRPG/habitica,JAVASCRIPT,good first issue,1.602E-07,False,0.4345884,medium,False,Min=0;Median=1.000;Mean=1.636;Max=10;std_dev=1.577,Min=0;Median=0.000;Mean=0.647;Max=5;std_dev=1.128
handsontable/handsontable,JAVASCRIPT,Help needed,7.084E-02,False,-0.07890545,negligible,False,Min=0;Median=0.000;Mean=0.522;Max=6;std_dev=0.828,Min=0;Median=0.000;Mean=0.654;Max=4;std_dev=0.901
hapijs/hapi,JAVASCRIPT,support,9.760E-11,False,0.3993323,medium,False,Min=0;Median=0.000;Mean=0.668;Max=4;std_dev=0.872,Min=0;Median=0.000;Mean=0.089;Max=2;std_dev=0.365
highlightjs/highlight.js,JAVASCRIPT,good first issue,1.249E-12,False,0.3335415,medium,False,Min=0;Median=2.000;Mean=1.806;Max=7;std_dev=1.381,Min=0;Median=1.000;Mean=1.097;Max=7;std_dev=1.336
honestbleeps/Reddit-Enhancement-Suite,JAVASCRIPT,hacktoberfest,6.279E-01,True,0.0252243,negligible,False,Min=0;Median=0.000;Mean=0.802;Max=8;std_dev=1.191,Min=0;Median=0.000;Mean=0.657;Max=4;std_dev=0.861
infernojs/inferno,JAVASCRIPT,help wanted,3.714E-04,False,0.2541175,small,False,Min=0;Median=0.000;Mean=0.692;Max=10;std_dev=1.351,Min=0;Median=0.000;Mean=0.170;Max=3;std_dev=0.545
jhipster/generator-jhipster,JAVASCRIPT,status: help wanted,9.646E-01,True,-0.002491153,negligible,False,Min=0;Median=2.000;Mean=1.890;Max=10;std_dev=1.618,Min=0;Median=2.000;Mean=1.863;Max=10;std_dev=1.562
jquery/jquery-mobile,JAVASCRIPT,help wanted,2.200E-16,False,-0.7264274,large,False,Min=0;Median=0.000;Mean=0.221;Max=3;std_dev=0.532,Min=0;Median=2.000;Mean=2.356;Max=10;std_dev=1.971
jquery/jquery,JAVASCRIPT,help wanted,5.027E-08,False,-0.2390239,small,False,Min=0;Median=1.000;Mean=1.128;Max=8;std_dev=1.306,Min=0;Median=2.000;Mean=1.890;Max=18;std_dev=1.934
js-org/js.org,JAVASCRIPT,error,6.172E-16,False,0.7770035,large,False,Min=8;Median=18.000;Mean=17.902;Max=26;std_dev=4.358,Min=0;Median=7.000;Mean=9.010;Max=62;std_dev=6.629
jsbin/jsbin,JAVASCRIPT,help wanted,5.395E-09,False,0.2258886,small,False,Min=0;Median=0.000;Mean=0.492;Max=4;std_dev=0.810,Min=0;Median=0.000;Mean=0.174;Max=5;std_dev=0.584
jupyter/notebook,JAVASCRIPT,good first issue,,,,,True,,
jupyterlab/jupyterlab,JAVASCRIPT,help wanted,,,,,True,,
jwplayer/jwplayer,JAVASCRIPT,beginner,3.670E-01,False,-0.04672058,negligible,False,Min=0;Median=0.000;Mean=0.233;Max=4;std_dev=0.517,Min=0;Median=0.000;Mean=0.273;Max=2;std_dev=0.504
Leaflet/Leaflet,JAVASCRIPT,help wanted,2.200E-16,False,0.7077724,large,False,Min=0;Median=2.000;Mean=2.147;Max=11;std_dev=1.558,Min=0;Median=0.000;Mean=0.418;Max=3;std_dev=0.762
LLK/scratch-gui,JAVASCRIPT,help wanted,,,,,True,,
mapbox/mapbox-gl-js,JAVASCRIPT,good first issue,2.200E-16,False,0.6472324,large,False,Min=0;Median=1.000;Mean=1.206;Max=9;std_dev=1.272,Min=0;Median=0.000;Mean=0.039;Max=1;std_dev=0.195
marmelab/react-admin,JAVASCRIPT,good first issue,1.092E-08,False,0.520301,large,False,Min=0;Median=2.000;Mean=2.581;Max=9;std_dev=1.614,Min=0;Median=1.000;Mean=1.128;Max=4;std_dev=1.115
material-components/material-components-web,JAVASCRIPT,help wanted,,,,,True,,
MetaMask/metamask-extension,JAVASCRIPT,good-first-issue,5.386E-14,False,0.5882503,large,False,Min=0;Median=1.000;Mean=1.425;Max=16;std_dev=1.816,Min=0;Median=0.000;Mean=0.133;Max=2;std_dev=0.430
meteor/meteor,JAVASCRIPT,good first issue,1.088E-15,False,-0.4001952,medium,False,Min=0;Median=1.000;Mean=0.970;Max=6;std_dev=1.084,Min=0;Median=2.000;Mean=2.152;Max=13;std_dev=1.954
microsoft/ChakraCore,JAVASCRIPT,help wanted,,,,,True,,
mui-org/material-ui,JAVASCRIPT,support,2.200E-16,False,0.9170149,large,False,Min=0;Median=9.000;Mean=9.857;Max=30;std_dev=4.569,Min=0;Median=2.000;Mean=2.250;Max=7;std_dev=1.945
nasa/openmct,JAVASCRIPT,help wanted,,,,,True,,
NervJS/taro,JAVASCRIPT,good first issue,,,,,True,,
NodeBB/NodeBB,JAVASCRIPT,good first issue,3.489E-06,False,-0.2431424,small,False,Min=0;Median=0.000;Mean=0.586;Max=4;std_dev=0.803,Min=0;Median=1.000;Mean=1.069;Max=6;std_dev=1.148
nodejs/node,JAVASCRIPT,good first issue,,,,,True,,
npm/cli,JAVASCRIPT,Community,9.899E-01,True,0.001248266,negligible,False,Min=0;Median=2.000;Mean=2.058;Max=8;std_dev=1.644,Min=0;Median=2.000;Mean=1.986;Max=9;std_dev=1.546
nylas/nylas-mail,JAVASCRIPT,hacktoberfest,7.009E-02,False,0.1067912,negligible,False,Min=0;Median=0.000;Mean=0.413;Max=6;std_dev=0.940,Min=0;Median=0.000;Mean=0.439;Max=10;std_dev=1.593
odota/core,JAVASCRIPT,good first issue,,,,,True,,
openstreetmap/iD,JAVASCRIPT,good first issue,,,,,True,,
OrchardCMS/Orchard,JAVASCRIPT,Easy Pick,,,,,True,,
photonstorm/phaser-ce,JAVASCRIPT,help wanted,,,,,True,,
piroor/treestyletab,JAVASCRIPT,help wanted,3.819E-02,False,0.09081633,negligible,False,Min=0;Median=0.000;Mean=0.171;Max=3;std_dev=0.444,Min=0;Median=0.000;Mean=0.057;Max=1;std_dev=0.234
plotly/plotly.js,JAVASCRIPT,hacktoberfest,3.245E-01,False,0.07350035,negligible,False,Min=0;Median=1.000;Mean=0.810;Max=4;std_dev=0.913,Min=0;Median=0.000;Mean=0.687;Max=4;std_dev=0.841
poooi/poi,JAVASCRIPT,help-wanted,,,,,True,,
ptmt/react-native-macos,JAVASCRIPT,help wanted,,,,,True,,
reactioncommerce/reaction,JAVASCRIPT,help wanted,1.367E-04,False,0.3502538,medium,False,Min=0;Median=0.000;Mean=0.490;Max=5;std_dev=0.789,Min=0;Median=0.000;Mean=0.000;Max=0;std_dev=0.000
renovatebot/renovate,JAVASCRIPT,help wanted,,,,,True,,
RocketChat/Rocket.Chat,JAVASCRIPT,hacktoberfest,8.418E-01,True,0.01403902,negligible,False,Min=0;Median=3.000;Mean=3.355;Max=19;std_dev=2.551,Min=0;Median=3.000;Mean=3.242;Max=13;std_dev=2.321
salesforce-ux/design-system,JAVASCRIPT,help wanted,,,,,True,,
sandstorm-io/sandstorm,JAVASCRIPT,bite-size,,,,,True,,
sanity-io/sanity,JAVASCRIPT,good first issue,1.439E-06,False,0.285977,small,False,Min=0;Median=0.000;Mean=0.477;Max=8;std_dev=0.917,Min=0;Median=0.000;Mean=0.040;Max=1;std_dev=0.197
SAP/openui5,JAVASCRIPT,contribution welcome,,,,,True,,
Semantic-Org/Semantic-UI,JAVASCRIPT,Need Help,,,,,True,,
sequelize/sequelize,JAVASCRIPT,good first issue,2.200E-16,False,0.5997038,large,False,Min=0;Median=3.000;Mean=3.698;Max=12;std_dev=2.156,Min=0;Median=1.000;Mean=1.560;Max=12;std_dev=1.918
serverless/serverless,JAVASCRIPT,good first issue,,,,,True,,
sitespeedio/sitespeed.io,JAVASCRIPT,help wanted,7.999E-06,False,0.1917546,small,False,Min=0;Median=0.000;Mean=0.377;Max=3;std_dev=0.621,Min=0;Median=0.000;Mean=0.138;Max=2;std_dev=0.383
